id,name,age,직업,성별,연봉,지역,최상위 카드등급,페르소나,개인 점수
1,김배달,32,프리랜서,남,3500,서울,Gold,배달중독,0
2,이페이,28,IT개발자,여,5500,경기,Platinum,간편결제중독,0
3,박짠돌,45,공무원,남,5000,충북,Silver,짠돌이,0
4,최구독,25,취준생,여,1200,서울,Silver,ott 구독 중독자,0
5,정충동,35,디자이너,여,4200,경기,Gold,충동소비,0
6,강대학,21,대학생,남,800,인천,Silver,대학생,0
7,유취준,26,취준생,남,1000,대구,Silver,취준생,0
8,한명품,38,전문직,여,12000,서울 강남,The Black,명품중독자,0
9,오부모,36,사무직,여,4500,경기,Gold,3세 아이를 키우는 학부모,0
10,조여행,33,마케터,남,4800,부산,Platinum,해외여행 중독자,0
11,임강사,40,학원강사,여,7000,서울,Platinum,강사,0
12,권직장,42,연구원,남,8500,대전,Gold,워커홀릭 직장인,0
13,신입사,27,대기업 신입,남,5200,서울,Gold,신입사원,0
14,아알바,22,아르바이트,여,1800,광주,Silver,알바생,0
15,고독신,45,대기업 과장,남,9500,서울 마포,VIP,대기업 다니는 40대 독신,0
16,강로또,30,무직,남,500,전남,Silver,로또 당첨을 꿈꾸는 백수,0

